compressor,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,avg_compression_ratio,compressor_policy,llm_policy,outlier_values,outlier0,outlier1,outlier2,avg_payload_ratio,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio
llmint8,"0.3750,0.1563,0.2188",0.3750,0.1563,0.2188,100,10000,9339,0.9339,0.009643883989192546,0.35968484438955783,655360000.0,327680000.0,163840000.0,245766376.0,51206400.0,35846400.0,3.4459552895473786,llmint8_fp16_int4,fp16_int4,"0.5000,0.0000,0.0000",0.5000,0.0000,0.0000,0.2901952915736607,0.375,0.1563,0.2188
llmint8,"0.3750,0.4063,0.2188",0.3750,0.4063,0.2188,100,10000,9339,0.9339,0.009817869015969337,0.35934323087334635,655360000.0,327680000.0,163840000.0,245766376.0,133126396.0,35846400.0,2.765304262120676,llmint8_fp16_int4,fp16_int4,"0.5000,0.5000,0.0000",0.5000,0.5000,0.0000,0.3616238595145089,0.375,0.4063,0.2188
llmint8,"0.5313,0.5313,0.2188",0.5313,0.5313,0.2188,100,10000,9330,0.933,0.00944638298591599,0.3621211238205433,655360000.0,327680000.0,163840000.0,348166400.0,174086400.0,35846400.0,2.054975172872493,llmint8_fp16_int4,fp16_int4,"1.0000,1.0000,0.0000",1.0000,1.0000,0.0000,0.4866238839285714,0.5313,0.5313,0.2188
llmint8,"0.5313,0.1563,0.5313",0.5313,0.1563,0.5313,100,10000,9329,0.9329,0.009411662011407316,0.35538603939116004,655360000.0,327680000.0,163840000.0,348166400.0,51206400.0,87046400.0,2.3578016657237213,llmint8_fp16_int4,fp16_int4,"1.0000,0.0000,1.0000",1.0000,0.0000,1.0000,0.4241238839285714,0.5313,0.1563,0.5313
llmint8,"0.5313,0.5313,0.5313",0.5313,0.5313,0.5313,100,10000,9329,0.9329,0.009617757012601941,0.35775979436933997,655360000.0,327680000.0,163840000.0,348166400.0,174086400.0,87046400.0,1.8822936252008866,llmint8_fp16_int4,fp16_int4,"1.0000,1.0000,1.0000",1.0000,1.0000,1.0000,0.5312667410714286,0.5313,0.5313,0.5313
llmint8,"0.5313,0.5313,0.4688",0.5313,0.5313,0.4688,100,10000,9328,0.9328,0.00898853999329731,0.35776155821979044,655360000.0,327680000.0,163840000.0,348166400.0,174086400.0,76806400.0,1.9144685533583325,llmint8_fp16_int4,fp16_int4,"1.0000,1.0000,0.5000",1.0000,1.0000,0.5000,0.5223381696428572,0.5313,0.5313,0.4688
llmint8,"0.5313,0.1563,0.4688",0.5313,0.1563,0.4688,100,10000,9328,0.9328,0.009349415025208146,0.363705892637372,655360000.0,327680000.0,163840000.0,348166400.0,51206400.0,76806400.0,2.408505033399191,llmint8_fp16_int4,fp16_int4,"1.0000,0.0000,0.5000",1.0000,0.0000,0.5000,0.4151953125,0.5313,0.1563,0.4688
llmint8,"0.5313,0.4063,0.4688",0.5313,0.4063,0.4688,100,10000,9327,0.9327,0.009007344017736613,0.3578138256072998,655360000.0,327680000.0,163840000.0,348166400.0,133126400.0,76806400.0,2.054975172872493,llmint8_fp16_int4,fp16_int4,"1.0000,0.5000,0.5000",1.0000,0.5000,0.5000,0.4866238839285714,0.5313,0.4063,0.4688
llmint8,"0.5313,0.4063,0.5313",0.5313,0.4063,0.5313,100,10000,9327,0.9327,0.009330079022329301,0.35791551776230335,655360000.0,327680000.0,163840000.0,348166400.0,133126400.0,87046400.0,2.0179498440368007,llmint8_fp16_int4,fp16_int4,"1.0000,0.5000,1.0000",1.0000,0.5000,1.0000,0.4955524553571429,0.5313,0.4063,0.5313
llmint8,"0.3750,0.4063,0.5313",0.3750,0.4063,0.5313,100,10000,9325,0.9325,0.00968813001876697,0.3584180572628975,655360000.0,327680000.0,163840000.0,245766376.0,133126396.0,87046400.0,2.4614371766106844,llmint8_fp16_int4,fp16_int4,"0.5000,0.5000,1.0000",0.5000,0.5000,1.0000,0.4062667166573661,0.375,0.4063,0.5313
