compressor,compressor_policy,llm_policy,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_payload_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,avg_compression_ratio
llmint8,llmint8_fp16_int4,fp16_int4,"0.5000,0.0000,0.0000",0.5000,0.0000,0.0000,"0.3750,0.1563,0.2188",0.3750,0.1563,0.2188,100,10000,9339,0.9339,0.009643883989192546,0.35968484438955783,0.2901952915736607,655360000.0,327680000.0,163840000.0,245766376.0,51206400.0,35846400.0,0.375,0.1563,0.2188,3.4459552895473786
llmint8,llmint8_fp16_int4,fp16_int4,"0.5000,0.5000,0.0000",0.5000,0.5000,0.0000,"0.3750,0.4063,0.2188",0.3750,0.4063,0.2188,100,10000,9339,0.9339,0.009817869015969337,0.35934323087334635,0.3616238595145089,655360000.0,327680000.0,163840000.0,245766376.0,133126396.0,35846400.0,0.375,0.4063,0.2188,2.765304262120676
llmint8,llmint8_fp16_int4,fp16_int4,"1.0000,1.0000,0.0000",1.0000,1.0000,0.0000,"0.5313,0.5313,0.2188",0.5313,0.5313,0.2188,100,10000,9330,0.933,0.00944638298591599,0.3621211238205433,0.4866238839285714,655360000.0,327680000.0,163840000.0,348166400.0,174086400.0,35846400.0,0.5313,0.5313,0.2188,2.054975172872493
llmint8,llmint8_fp16_int4,fp16_int4,"1.0000,0.0000,1.0000",1.0000,0.0000,1.0000,"0.5313,0.1563,0.5313",0.5313,0.1563,0.5313,100,10000,9329,0.9329,0.009411662011407316,0.35538603939116004,0.4241238839285714,655360000.0,327680000.0,163840000.0,348166400.0,51206400.0,87046400.0,0.5313,0.1563,0.5313,2.3578016657237213
llmint8,llmint8_fp16_int4,fp16_int4,"1.0000,1.0000,1.0000",1.0000,1.0000,1.0000,"0.5313,0.5313,0.5313",0.5313,0.5313,0.5313,100,10000,9329,0.9329,0.009617757012601941,0.35775979436933997,0.5312667410714286,655360000.0,327680000.0,163840000.0,348166400.0,174086400.0,87046400.0,0.5313,0.5313,0.5313,1.8822936252008866
llmint8,llmint8_fp16_int4,fp16_int4,"1.0000,1.0000,0.5000",1.0000,1.0000,0.5000,"0.5313,0.5313,0.4688",0.5313,0.5313,0.4688,100,10000,9328,0.9328,0.00898853999329731,0.35776155821979044,0.5223381696428572,655360000.0,327680000.0,163840000.0,348166400.0,174086400.0,76806400.0,0.5313,0.5313,0.4688,1.9144685533583325
llmint8,llmint8_fp16_int4,fp16_int4,"1.0000,0.0000,0.5000",1.0000,0.0000,0.5000,"0.5313,0.1563,0.4688",0.5313,0.1563,0.4688,100,10000,9328,0.9328,0.009349415025208146,0.363705892637372,0.4151953125,655360000.0,327680000.0,163840000.0,348166400.0,51206400.0,76806400.0,0.5313,0.1563,0.4688,2.408505033399191
llmint8,llmint8_fp16_int4,fp16_int4,"1.0000,0.5000,0.5000",1.0000,0.5000,0.5000,"0.5313,0.4063,0.4688",0.5313,0.4063,0.4688,100,10000,9327,0.9327,0.009007344017736613,0.3578138256072998,0.4866238839285714,655360000.0,327680000.0,163840000.0,348166400.0,133126400.0,76806400.0,0.5313,0.4063,0.4688,2.054975172872493
llmint8,llmint8_fp16_int4,fp16_int4,"1.0000,0.5000,1.0000",1.0000,0.5000,1.0000,"0.5313,0.4063,0.5313",0.5313,0.4063,0.5313,100,10000,9327,0.9327,0.009330079022329301,0.35791551776230335,0.4955524553571429,655360000.0,327680000.0,163840000.0,348166400.0,133126400.0,87046400.0,0.5313,0.4063,0.5313,2.0179498440368007
llmint8,llmint8_fp16_int4,fp16_int4,"0.5000,0.5000,1.0000",0.5000,0.5000,1.0000,"0.3750,0.4063,0.5313",0.3750,0.4063,0.5313,100,10000,9325,0.9325,0.00968813001876697,0.3584180572628975,0.4062667166573661,655360000.0,327680000.0,163840000.0,245766376.0,133126396.0,87046400.0,0.375,0.4063,0.5313,2.4614371766106844
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,0.0000,0.0000",0.0000,0.0000,0.0000,"0.1250,0.1563,0.2188",0.1250,0.1563,0.2188,100,10000,9325,0.9325,0.010970509028993547,0.36286165900528433,0.14733816964285715,655360000.0,327680000.0,163840000.0,81926400.0,51206400.0,35846400.0,0.125,0.1563,0.2188,6.7871075256599624
llmint8,llmint8_fp16_int4,fp16_int4,"1.0000,0.5000,0.0000",1.0000,0.5000,0.0000,"0.5313,0.4063,0.2188",0.5313,0.4063,0.2188,100,10000,9324,0.9324,0.009286068012006581,0.35937626749277113,0.4509095982142857,655360000.0,327680000.0,163840000.0,348166400.0,133126400.0,35846400.0,0.5313,0.4063,0.2188,2.217739440367313
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,0.0000,1.0000",0.0000,0.0000,1.0000,"0.1250,0.1563,0.5313",0.1250,0.1563,0.5313,100,10000,9323,0.9323,0.0106519200024195,0.36083609752357004,0.1919810267857143,655360000.0,327680000.0,163840000.0,81926400.0,51206400.0,87046400.0,0.125,0.1563,0.5313,5.208848065575676
llmint8,llmint8_fp16_int4,fp16_int4,"0.5000,1.0000,0.5000",0.5000,1.0000,0.5000,"0.3750,0.5313,0.4688",0.3750,0.5313,0.4688,100,10000,9322,0.9322,0.00954362504184246,0.35813100062310693,0.43305243443080355,655360000.0,327680000.0,163840000.0,245766376.0,174086400.0,76806400.0,0.375,0.5313,0.4688,2.3091891893284986
llmint8,llmint8_fp16_int4,fp16_int4,"0.5000,1.0000,1.0000",0.5000,1.0000,1.0000,"0.3750,0.5313,0.5313",0.3750,0.5313,0.5313,100,10000,9322,0.9322,0.00973741700174287,0.3586491622775793,0.441981005859375,655360000.0,327680000.0,163840000.0,245766376.0,174086400.0,87046400.0,0.375,0.5313,0.5313,2.2625406674561255
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,1.0000,0.5000",0.0000,1.0000,0.5000,"0.1250,0.5313,0.4688",0.1250,0.5313,0.4688,100,10000,9321,0.9321,0.00965682800160721,0.36200364246964456,0.2901953107561384,655360000.0,327680000.0,163840000.0,81926400.0,174086400.0,76806398.0,0.125,0.5313,0.4688,3.4459550617629935
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,1.0000,0.0000",0.0000,1.0000,0.0000,"0.1250,0.5313,0.2188",0.1250,0.5313,0.2188,100,10000,9320,0.932,0.009719078005291521,0.3651317471265793,0.25448102678571427,655360000.0,327680000.0,163840000.0,81926400.0,174086400.0,35846400.0,0.125,0.5313,0.2188,3.929566037322106
llmint8,llmint8_fp16_int4,fp16_int4,"0.5000,0.5000,0.5000",0.5000,0.5000,0.5000,"0.3750,0.4063,0.4688",0.3750,0.4063,0.4688,100,10000,9318,0.9318,0.009689918996300548,0.3577885640412569,0.39733814697265624,655360000.0,327680000.0,163840000.0,245766376.0,133126398.0,76806400.0,0.375,0.4063,0.4688,2.5167480334296153
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,0.5000,0.5000",0.0000,0.5000,0.5000,"0.1250,0.4063,0.4688",0.1250,0.4063,0.4688,100,10000,9318,0.9318,0.009878395977430045,0.3646509839594364,0.25448102504185266,655360000.0,327680000.0,163840000.0,81926400.0,133126398.0,76806400.0,0.125,0.4063,0.4688,3.9295660642499266
llmint8,llmint8_fp16_int4,fp16_int4,"0.5000,0.0000,0.5000",0.5000,0.0000,0.5000,"0.3750,0.1563,0.4688",0.3750,0.1563,0.4688,100,10000,9316,0.9316,0.009392091003246606,0.363974037989974,0.32590957728794645,655360000.0,327680000.0,163840000.0,245766376.0,51206400.0,76806400.0,0.375,0.1563,0.4688,3.068335727723901
llmint8,llmint8_fp16_int4,fp16_int4,"0.5000,1.0000,0.0000",0.5000,1.0000,0.0000,"0.3750,0.5313,0.2188",0.3750,0.5313,0.2188,100,10000,9315,0.9315,0.009596742002759128,0.3627585265040398,0.39733814871651785,655360000.0,327680000.0,163840000.0,245766376.0,174086400.0,35846400.0,0.375,0.5313,0.2188,2.51674802238396
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,1.0000,1.0000",0.0000,1.0000,1.0000,"0.1250,0.5313,0.5313",0.1250,0.5313,0.5313,100,10000,9312,0.9312,0.00967851400608197,0.3622147659212351,0.2991238839285714,655360000.0,327680000.0,163840000.0,81926400.0,174086400.0,87046400.0,0.125,0.5313,0.5313,3.343096468481242
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,0.0000,0.5000",0.0000,0.0000,0.5000,"0.1250,0.1563,0.4688",0.1250,0.1563,0.4688,100,10000,9312,0.9312,0.00998566702241078,0.36832804188132284,0.18305245535714285,655360000.0,327680000.0,163840000.0,81926400.0,51206400.0,76806400.0,0.125,0.1563,0.4688,5.462914977288663
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,0.5000,0.0000",0.0000,0.5000,0.0000,"0.1250,0.4063,0.2188",0.1250,0.4063,0.2188,100,10000,9311,0.9311,0.010204042992554604,0.3615623125061393,0.21876673758370535,655360000.0,327680000.0,163840000.0,81926400.0,133126396.0,35846400.0,0.125,0.4063,0.2188,4.57107881684882
llmint8,llmint8_fp16_int4,fp16_int4,"0.0000,0.5000,1.0000",0.0000,0.5000,1.0000,"0.1250,0.4063,0.5313",0.1250,0.4063,0.5313,100,10000,9310,0.931,0.009519627986010163,0.3627075768262148,0.2634095964704241,655360000.0,327680000.0,163840000.0,81926400.0,133126398.0,87046400.0,0.125,0.4063,0.5313,3.796368899992909
