compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_margin,avg_payload_ratio,avg_compression_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,model_name,split,positive_token,negative_token,positive_token_id,negative_token_id,prompt_template
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"1.0000,1.0000,1.0000",1.0000,1.0000,1.0000,"0.5314,0.5314,0.5314",0.5314,0.5314,0.5314,100,93,0.93,0.061169128017500046,0.1870858645415865,4.469393176436424,0.5314127604166666,1.8817764165390505,39321600.0,39321600.0,39321600.0,20896000.0,20896000.0,20896000.0,0.5314,0.5314,0.5314,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"0.0100,1.0000,1.0000",0.0100,1.0000,1.0000,"0.2877,0.5314,0.5314",0.2877,0.5314,0.5314,100,93,0.93,0.07903642500750721,0.18738133992825168,4.462863743901253,0.4501817491319444,2.22132505799765,39321600.0,39321600.0,39321600.0,11313600.0,20896000.0,20896000.0,0.2877,0.5314,0.5314,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"1.0000,0.5000,1.0000",1.0000,0.5000,1.0000,"0.5314,0.5327,0.5314",0.5314,0.5327,0.5314,100,93,0.93,0.08679057401837781,0.18706370973901357,4.469399965405464,0.5318467881944444,1.8802407426298071,39321600.0,39321600.0,39321600.0,20896000.0,20947200.0,20896000.0,0.5314,0.5327,0.5314,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"0.2500,1.0000,1.0000",0.2500,1.0000,1.0000,"0.4077,0.5314,0.5314",0.4077,0.5314,0.5314,100,93,0.93,0.08717040999559686,0.18698574558104156,4.46926446378231,0.4901801215277778,2.0400664084117324,39321600.0,39321600.0,39321600.0,16032000.0,20896000.0,20896000.0,0.4077,0.5314,0.5314,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"1.0000,1.0000,0.0100",1.0000,1.0000,0.0100,"0.5314,0.5314,0.2877",0.5314,0.5314,0.2877,100,93,0.93,0.08774574002018198,0.1870683422294678,4.470538995265961,0.4501817152235243,2.221325225311472,39321600.0,39321600.0,39321600.0,20896000.0,20896000.0,11313596.0,0.5314,0.5314,0.2877,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"1.0000,0.0100,1.0000",1.0000,0.0100,1.0000,"0.5314,0.2877,0.5314",0.5314,0.2877,0.5314,100,93,0.93,0.08790545999538153,0.18721879219723633,4.469372217059135,0.45018168131510417,2.221325392625319,39321600.0,39321600.0,39321600.0,20896000.0,11313592.0,20896000.0,0.5314,0.2877,0.5314,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"1.0000,1.0000,0.2500",1.0000,1.0000,0.2500,"0.5314,0.5314,0.4077",0.5314,0.5314,0.4077,100,93,0.93,0.08876070199999958,0.1870986382715637,4.469183632731438,0.4901800537109375,2.0400666906567086,39321600.0,39321600.0,39321600.0,20896000.0,20896000.0,16031992.0,0.5314,0.5314,0.4077,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"1.0000,1.0000,0.5000",1.0000,1.0000,0.5000,"0.5314,0.5314,0.5327",0.5314,0.5314,0.5327,100,93,0.93,0.08934719100594521,0.1870812319617835,4.469352859854698,0.5318467881944444,1.8802407426298071,39321600.0,39321600.0,39321600.0,20896000.0,20896000.0,20947200.0,0.5314,0.5314,0.5327,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"1.0000,0.2500,1.0000",1.0000,0.2500,1.0000,"0.5314,0.4077,0.5314",0.5314,0.4077,0.5314,100,93,0.93,0.09015040699625387,0.18706791250559035,4.4692498630285264,0.4901801045735677,2.0400664789729688,39321600.0,39321600.0,39321600.0,20896000.0,16031998.0,20896000.0,0.5314,0.4077,0.5314,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
llmint8,llmint8_fp16_int8,fp16_int8,fp16,int8,"0.5000,1.0000,1.0000",0.5000,1.0000,1.0000,"0.5327,0.5314,0.5314",0.5327,0.5314,0.5314,100,93,0.93,0.09390106100589037,0.18706779474916402,4.469465658068657,0.5318467203776042,1.8802409823830692,39321600.0,39321600.0,39321600.0,20947192.0,20896000.0,20896000.0,0.5327,0.5314,0.5314,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
