compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,quant_precision_values,quant0_precision,quant1_precision,quant2_precision,k_values,k0,k1,k2,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_margin,avg_payload_ratio,avg_compression_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,model_name,split,positive_token,negative_token,positive_token_id,negative_token_id,prompt_template
quantization,quantization,,,,,,,,"passthrough,passthrough,int4",passthrough,passthrough,int4,"1.0000,1.0000,0.1250",1.0000,1.0000,0.1250,872,805,0.9231651376146789,0.056257862854565265,0.2288465981202802,4.8318748513766385,0.7083909776475694,1.411649825525458,342884352.0,342884352.0,342884352.0,342884352.0,342884352.0,42919840.0,1.0,1.0,0.1252,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,passthrough,passthrough",passthrough,passthrough,passthrough,"1.0000,1.0000,1.0000",1.0000,1.0000,1.0000,872,800,0.9174311926605505,0.042851350226956464,0.23008395336722587,4.863556338559597,1.0,1.0,342884352.0,342884352.0,342884352.0,342884352.0,342884352.0,342884352.0,1.0,1.0,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,passthrough,fp16",passthrough,passthrough,fp16,"1.0000,1.0000,0.5000",1.0000,1.0000,0.5000,872,800,0.9174311926605505,0.05325529793087273,0.23008446064752475,4.863562153976992,0.8333875868055556,1.199921880085932,342884352.0,342884352.0,342884352.0,342884352.0,342884352.0,171497984.0,1.0,1.0,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,passthrough,int8",passthrough,passthrough,int8,"1.0000,1.0000,0.2500",1.0000,1.0000,0.2500,872,800,0.9174311926605505,0.05419289094551868,0.2300827727056441,4.861014977302573,0.7500576443142362,1.3332308624282891,342884352.0,342884352.0,342884352.0,342884352.0,342884352.0,85780384.0,1.0,1.0,0.2502,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,passthrough,int2",passthrough,passthrough,int2,"1.0000,1.0000,0.0625",1.0000,1.0000,0.0625,872,655,0.7511467889908257,0.0543323552797745,0.4888139378296536,0.8256165467271017,0.6875576443142362,1.4544235065517905,342884352.0,342884352.0,342884352.0,342884352.0,342884352.0,21489568.0,1.0,1.0,0.0627,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,int4,passthrough",passthrough,int4,passthrough,"1.0000,0.1250,1.0000",1.0000,0.1250,1.0000,872,474,0.5435779816513762,0.0559975740797775,0.7563438958129547,0.8287339385496367,0.7083909776475694,1.411649825525458,342884352.0,342884352.0,342884352.0,342884352.0,42919840.0,342884352.0,1.0,0.1252,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,int4,fp16",passthrough,int4,fp16,"1.0000,0.1250,0.5000",1.0000,0.1250,0.5000,872,474,0.5435779816513762,0.05679938394881768,0.7682722887267794,0.8406757630339456,0.541778564453125,1.84577254548527,342884352.0,342884352.0,342884352.0,342884352.0,42919840.0,171497984.0,1.0,0.1252,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int4,int4,passthrough",int4,int4,passthrough,"0.1250,0.1250,1.0000",0.1250,0.1250,1.0000,872,469,0.5378440366972477,0.059094935087935674,0.7755662477019867,0.8157923929735061,0.4167819552951389,2.3993361211904256,342884352.0,342884352.0,342884352.0,42919840.0,42919840.0,342884352.0,0.1252,0.1252,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int4,int8,fp16",int4,int8,fp16,"0.1250,0.2500,0.5000",0.1250,0.2500,0.5000,872,465,0.533256880733945,0.057113139565987084,0.778307046771152,0.8300587764573754,0.2918362087673611,3.42657960170102,342884352.0,342884352.0,342884352.0,42919840.0,85780384.0,171497984.0,0.1252,0.2502,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int4,int4,fp16",int4,int4,fp16,"0.1250,0.1250,0.5000",0.1250,0.1250,0.5000,872,463,0.5309633027522935,0.059301117309070096,0.7790472696069628,0.785166968719675,0.2501695421006944,3.997289164791672,342884352.0,342884352.0,342884352.0,42919840.0,42919840.0,171497984.0,0.1252,0.1252,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int8,passthrough,int2",int8,passthrough,int2,"0.2500,1.0000,0.0625",0.2500,1.0000,0.0625,872,462,0.5298165137614679,0.05569717970168338,0.7107067121141547,0.3867711348271151,0.4376152886284722,2.2851121201320335,342884352.0,342884352.0,342884352.0,85780384.0,342884352.0,21489568.0,0.2502,1.0,0.0627,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int8,int4,fp16",int8,int4,fp16,"0.2500,0.1250,0.5000",0.2500,0.1250,0.5000,872,462,0.5298165137614679,0.057248176144406096,0.7948191518075081,0.840878974407091,0.2918362087673611,3.42657960170102,342884352.0,342884352.0,342884352.0,85780384.0,42919840.0,171497984.0,0.2502,0.1252,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int2,int4,fp16",int2,int4,fp16,"0.0625,0.1250,0.5000",0.0625,0.1250,0.5000,872,460,0.5275229357798165,0.059037711688663404,0.7918325416111481,0.8060735037567419,0.2293362087673611,4.360410444451015,342884352.0,342884352.0,342884352.0,21489568.0,42919840.0,171497984.0,0.0627,0.1252,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,int4,int2",passthrough,int4,int2,"1.0000,0.1250,0.0625",1.0000,0.1250,0.0625,872,456,0.5229357798165137,0.05744059816368112,0.8938662163778528,1.2666353521988205,0.3959486219618056,2.5255802003939367,342884352.0,342884352.0,342884352.0,342884352.0,42919840.0,21489568.0,1.0,0.1252,0.0627,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int2,passthrough,passthrough",int2,passthrough,passthrough,"0.0625,1.0000,1.0000",0.0625,1.0000,1.0000,872,451,0.5172018348623854,0.05451215882604053,0.7154487503196941,0.39240728769827327,0.6875576443142362,1.4544235065517905,342884352.0,342884352.0,342884352.0,21489568.0,342884352.0,342884352.0,0.0627,1.0,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int2,passthrough,fp16",int2,passthrough,fp16,"0.0625,1.0000,0.5000",0.0625,1.0000,0.5000,872,451,0.5172018348623854,0.05523200882726921,0.7154472835464488,0.3924145775103788,0.5209452311197916,1.9195875886040108,342884352.0,342884352.0,342884352.0,21489568.0,342884352.0,171497984.0,0.0627,1.0,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int2,passthrough,int8",int2,passthrough,int8,"0.0625,1.0000,0.2500",0.0625,1.0000,0.2500,872,451,0.5172018348623854,0.05575332315446416,0.715437584163604,0.3912056443888113,0.4376152886284722,2.2851121201320335,342884352.0,342884352.0,342884352.0,21489568.0,342884352.0,85780384.0,0.0627,1.0,0.2502,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int4,int2,int2",int4,int2,int2,"0.1250,0.0625,0.0625",0.1250,0.0625,0.0625,872,451,0.5172018348623854,0.060592727621893376,0.7173519738599521,0.39530220162977864,0.08350626627604167,11.975149226458765,342884352.0,342884352.0,342884352.0,42919840.0,21489568.0,21489568.0,0.1252,0.0627,0.0627,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int4,passthrough,fp16",int4,passthrough,fp16,"0.1250,1.0000,0.5000",0.1250,1.0000,0.5000,872,450,0.5160550458715596,0.05623461319819315,0.7999027211308787,0.8281510885155529,0.541778564453125,1.84577254548527,342884352.0,342884352.0,342884352.0,42919840.0,342884352.0,171497984.0,0.1252,1.0,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,int8,int4",passthrough,int8,int4,"1.0000,0.2500,0.1250",1.0000,0.2500,0.1250,872,450,0.5160550458715596,0.057166594042711884,0.7216508640745364,0.4601484247303884,0.4584486219618056,2.181269507847517,342884352.0,342884352.0,342884352.0,342884352.0,85780384.0,42919840.0,1.0,0.2502,0.1252,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int4,int8,int2",int4,int8,int2,"0.1250,0.2500,0.0625",0.1250,0.2500,0.0625,872,450,0.5160550458715596,0.058414341062157836,0.9171808415440705,1.151181930547939,0.14600626627604166,6.849021110569219,342884352.0,342884352.0,342884352.0,42919840.0,85780384.0,21489568.0,0.1252,0.2502,0.0627,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,int8,int8",passthrough,int8,int8,"1.0000,0.2500,0.2500",1.0000,0.2500,0.2500,872,449,0.5149082568807339,0.05505614140532364,0.7140325070999631,0.42429721191388753,0.5001152886284722,1.999538951793342,342884352.0,342884352.0,342884352.0,342884352.0,85780384.0,85780384.0,1.0,0.2502,0.2502,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,int8,passthrough",passthrough,int8,passthrough,"1.0000,0.2500,1.0000",1.0000,0.2500,1.0000,872,448,0.5137614678899083,0.05361148406839032,0.7141777430447417,0.42381900002103334,0.7500576443142362,1.3332308624282891,342884352.0,342884352.0,342884352.0,342884352.0,85780384.0,342884352.0,1.0,0.2502,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,int8,fp16",passthrough,int8,fp16,"1.0000,0.2500,0.5000",1.0000,0.2500,0.5000,872,448,0.5137614678899083,0.05391736123646789,0.7141758716417426,0.4238199618978238,0.5834452311197916,1.7139569348792607,342884352.0,342884352.0,342884352.0,342884352.0,85780384.0,171497984.0,1.0,0.2502,0.5002,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int8,int4,passthrough",int8,int4,passthrough,"0.2500,0.1250,1.0000",0.2500,0.1250,1.0000,872,448,0.5137614678899083,0.0569943056213285,0.8186984758721579,0.8425584938548026,0.4584486219618056,2.181269507847517,342884352.0,342884352.0,342884352.0,85780384.0,42919840.0,342884352.0,0.2502,0.1252,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int2,passthrough,int2",int2,passthrough,int2,"0.0625,1.0000,0.0625",0.0625,1.0000,0.0625,872,447,0.5126146788990825,0.05647686261677294,0.7129392377485376,0.31143220684943945,0.3751152886284722,2.6658470883879017,342884352.0,342884352.0,342884352.0,21489568.0,342884352.0,21489568.0,0.0627,1.0,0.0627,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,int8,int2",passthrough,int8,int2,"1.0000,0.2500,0.0625",1.0000,0.2500,0.0625,872,446,0.5114678899082569,0.0555509607731621,0.7157584496115873,0.44891264405819253,0.4376152886284722,2.2851121201320335,342884352.0,342884352.0,342884352.0,342884352.0,85780384.0,21489568.0,1.0,0.2502,0.0627,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int2,passthrough,int4",int2,passthrough,int4,"0.0625,1.0000,0.1250",0.0625,1.0000,0.1250,872,446,0.5114678899082569,0.057775950335914594,0.7196976638937352,0.42010665432028815,0.3959486219618056,2.5255802003939367,342884352.0,342884352.0,342884352.0,21489568.0,342884352.0,42919840.0,0.0627,1.0,0.1252,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int4,passthrough,int8",int4,passthrough,int8,"0.1250,1.0000,0.2500",0.1250,1.0000,0.2500,872,445,0.5103211009174312,0.05693653910559679,0.7940758117389173,0.8521130019371662,0.4584486219618056,2.181269507847517,342884352.0,342884352.0,342884352.0,42919840.0,342884352.0,85780384.0,0.1252,1.0,0.2502,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"int2,int8,int4",int2,int8,int4,"0.0625,0.2500,0.1250",0.0625,0.2500,0.1250,872,445,0.5103211009174312,0.05698999576537588,0.7376096957200847,0.5652327389892088,0.14600626627604166,6.849021110569219,342884352.0,342884352.0,342884352.0,21489568.0,85780384.0,42919840.0,0.0627,0.2502,0.1252,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"fp16,int8,passthrough",fp16,int8,passthrough,"0.5000,0.2500,1.0000",0.5000,0.2500,1.0000,872,444,0.5091743119266054,0.05377572226026223,0.7129418423416418,0.4382209777832031,0.5834452311197916,1.7139569348792607,342884352.0,342884352.0,342884352.0,171497984.0,85780384.0,342884352.0,0.5002,0.2502,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
quantization,quantization,,,,,,,,"passthrough,fp16,int8",passthrough,fp16,int8,"1.0000,0.5000,0.2500",1.0000,0.5000,0.2500,872,444,0.5091743119266054,0.05428408704849746,0.7129418423416418,0.4382209777832031,0.5834452311197916,1.7139569348792607,342884352.0,342884352.0,342884352.0,342884352.0,171497984.0,85780384.0,1.0,0.5002,0.2502,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
