compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_margin,avg_payload_ratio,avg_compression_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,model_name,split,positive_token,negative_token,positive_token_id,negative_token_id,prompt_template
topk,topk,,,,,,,,"1.0000,1.0000,1.0000",1.0000,1.0000,1.0000,100,93,0.93,0.04267530899727717,0.18306474733544748,4.914581199884415,1.0,1.0,39321600.0,39321600.0,39321600.0,39321600.0,39321600.0,39321600.0,1.0,1.0,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"1.0000,1.0000,0.1250",1.0000,1.0000,0.1250,100,93,0.93,0.05628838899778202,0.23045027722604572,2.3238774013519286,0.7188042534722222,1.3911993357989283,39321600.0,39321600.0,39321600.0,39321600.0,39321600.0,6150400.0,1.0,1.0,0.1564,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"1.0000,0.2500,1.0000",1.0000,0.2500,1.0000,100,93,0.93,0.05736400899011642,0.20042211592983222,4.848539175987244,0.7604709201388888,1.3149746736106156,39321600.0,39321600.0,39321600.0,39321600.0,11065600.0,39321600.0,1.0,0.2814,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"1.0000,1.0000,0.2500",1.0000,1.0000,0.2500,100,93,0.93,0.06024049899308011,0.17148938192578497,4.234483707994222,0.7604709201388888,1.3149746736106156,39321600.0,39321600.0,39321600.0,39321600.0,39321600.0,11065600.0,1.0,1.0,0.2814,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"0.2500,1.0000,1.0000",0.2500,1.0000,1.0000,100,93,0.93,0.0658660830068402,0.22196893894550157,5.2663641265034675,0.7604709201388888,1.3149746736106156,39321600.0,39321600.0,39321600.0,11065600.0,39321600.0,39321600.0,0.2814,1.0,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"1.0000,0.2500,0.1250",1.0000,0.2500,0.1250,100,93,0.93,0.06653794298879802,0.22887399562634528,2.455592222213745,0.4792751736111111,2.0864840389404575,39321600.0,39321600.0,39321600.0,39321600.0,11065600.0,6150400.0,1.0,0.2814,0.1564,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"1.0000,1.0000,0.5000",1.0000,1.0000,0.5000,100,93,0.93,0.06813398397760466,0.18634279092002543,4.894291875064373,0.8438042534722222,1.1851089821899312,39321600.0,39321600.0,39321600.0,39321600.0,39321600.0,20896000.0,1.0,1.0,0.5314,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"0.7500,1.0000,1.0000",0.7500,1.0000,1.0000,100,93,0.93,0.06892085901461542,0.18301307793852176,4.895694704949856,0.9271375868055556,1.078588565744046,39321600.0,39321600.0,39321600.0,30726400.0,39321600.0,39321600.0,0.7814,1.0,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"1.0000,0.5000,0.1250",1.0000,0.5000,0.1250,100,93,0.93,0.06942130299750715,0.2298311814200133,2.3362941002845763,0.5626085069444444,1.7774349083895853,39321600.0,39321600.0,39321600.0,39321600.0,20896000.0,6150400.0,1.0,0.5314,0.1564,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
topk,topk,,,,,,,,"0.5000,1.0000,1.0000",0.5000,1.0000,1.0000,100,93,0.93,0.07023071100702509,0.19075307049817639,4.9535892790555955,0.8438042534722222,1.1851089821899312,39321600.0,39321600.0,39321600.0,20896000.0,39321600.0,39321600.0,0.5314,1.0,1.0,google/flan-t5-base,validation,positive,negative,1465,2841,"Classify the sentiment of the following sentence as positive or negative.
Sentence: {sentence}
Sentiment:"
