compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_payload_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,avg_compression_ratio
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.7500,0.7500,0.2500",0.7500,0.7500,0.2500,"0.4531,0.4844,0.2969",0.4531,0.4844,0.2969,100,10000,9331,0.9331,0.02081087991129607,0.3612722543627024,0.43974886474609376,655360000.0,327680000.0,163840000.0,296966378.0,158726400.0,48646400.0,0.4531,0.4844,0.2969,2.2740251997634813
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.7500,0.5000,0.5000",0.7500,0.5000,0.5000,"0.4531,0.3594,0.4219",0.4531,0.3594,0.4219,100,10000,9331,0.9331,0.02096389531157911,0.35875797480344773,0.4218917184012277,655360000.0,327680000.0,163840000.0,296966378.0,117766396.0,69126400.0,0.4531,0.3594,0.4219,2.370276439152521
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.7500,1.0000,0.2500",0.7500,1.0000,0.2500,"0.4531,0.5313,0.2969",0.4531,0.5313,0.2969,100,10000,9331,0.9331,0.022665402721613645,0.3611187428981066,0.4531417218889509,655360000.0,327680000.0,163840000.0,296966378.0,174086400.0,48646400.0,0.4531,0.5313,0.2969,2.206815112568833
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.5000,0.5000,0.7500",0.5000,0.5000,0.7500,"0.3281,0.3594,0.4750",0.3281,0.3594,0.4750,100,10000,9329,0.9329,0.020905985105782746,0.36387059777975084,0.3580460117885045,655360000.0,327680000.0,163840000.0,215046384.0,117766394.0,77823032.0,0.3281,0.3594,0.475,2.7929371284009545
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.5000,0.5000,1.0000",0.5000,0.5000,1.0000,"0.3281,0.3594,0.5313",0.3281,0.3594,0.5313,100,10000,9329,0.9329,0.0219650038308464,0.36387059777975084,0.36608815046037946,655360000.0,327680000.0,163840000.0,215046384.0,117766394.0,87046400.0,0.3281,0.3594,0.5313,2.73158254027735
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"1.0000,0.7500,0.2500",1.0000,0.7500,0.2500,"0.5313,0.4844,0.2969",0.5313,0.4844,0.2969,100,10000,9329,0.9329,0.023068088905420156,0.36029957473278046,0.48439174107142857,655360000.0,327680000.0,163840000.0,348166400.0,158726400.0,48646400.0,0.5313,0.4844,0.2969,2.0644447772542422
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.5000,0.7500,0.7500",0.5000,0.7500,0.7500,"0.3281,0.4844,0.4744",0.3281,0.4844,0.4744,100,10000,9328,0.9328,0.02086263774894178,0.3635064767301083,0.3936726266043527,655360000.0,327680000.0,163840000.0,215046384.0,158726398.0,77722480.0,0.3281,0.4844,0.4744,2.5401816951957294
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.7500,0.5000,0.7500",0.7500,0.5000,0.7500,"0.4531,0.3594,0.4725",0.4531,0.3594,0.4725,100,10000,9328,0.9328,0.020945426633115858,0.35875287510454656,0.4291179739815848,655360000.0,327680000.0,163840000.0,296966378.0,117766396.0,77414048.0,0.4531,0.3594,0.4725,2.330361487125482
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.5000,0.7500,0.5000",0.5000,0.7500,0.5000,"0.3281,0.4844,0.4219",0.3281,0.4844,0.4219,100,10000,9328,0.9328,0.02102057696087286,0.3635294060409069,0.38617743791852677,655360000.0,327680000.0,163840000.0,215046384.0,158726398.0,69126398.0,0.3281,0.4844,0.4219,2.589483231827162
llmint8,llmint8_fp16_int2,fp16_int2,fp16,int2,"0.7500,0.5000,1.0000",0.7500,0.5000,1.0000,"0.4531,0.3594,0.5313",0.4531,0.3594,0.5313,100,10000,9328,0.9328,0.02174330973997712,0.35875287510454656,0.4375167184012277,655360000.0,327680000.0,163840000.0,296966378.0,117766396.0,87046400.0,0.4531,0.3594,0.5313,2.2856269439353016
