compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_payload_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,avg_compression_ratio
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"1.0000,1.0000,0.0000",1.0000,1.0000,0.0000,"0.2813,0.2813,0.2188",0.2813,0.2813,0.2188,100,10000,9340,0.934,0.02902949322713539,0.3608692379295826,0.2723392159598214,655360000.0,327680000.0,163840000.0,184326800.0,92166800.0,35846800.0,0.2813,0.2813,0.2188,3.67189130832899
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.7500,0.0000,0.7500",0.7500,0.0000,0.7500,"0.3125,0.1563,0.3689",0.3125,0.1563,0.3689,100,10000,9336,0.9336,0.022122701653279363,0.3591280300170183,0.27592406616210935,655360000.0,327680000.0,163840000.0,204806789.0,51206800.0,60438204.0,0.3125,0.1563,0.3689,3.6241855011388733
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.7500,0.5000,0.0000",0.7500,0.5000,0.0000,"0.3125,0.2813,0.2188",0.3125,0.2813,0.2188,100,10000,9335,0.9335,0.021820163435768335,0.36159238778054714,0.29019634835379465,655360000.0,327680000.0,163840000.0,204806789.0,92166799.0,35846800.0,0.3125,0.2813,0.2188,3.4459427407433947
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"1.0000,0.0000,0.2500",1.0000,0.0000,0.2500,"0.2813,0.1563,0.2813",0.2813,0.1563,0.2813,100,10000,9335,0.9335,0.02613321620738134,0.3596148815006018,0.24555350080217633,655360000.0,327680000.0,163840000.0,184326800.0,51206800.0,46086799.0,0.2813,0.1563,0.2813,4.072432267237858
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.2500,0.7500,1.0000",0.2500,0.7500,1.0000,"0.1875,0.3438,0.2813",0.1875,0.3438,0.2813,100,10000,9334,0.9334,0.02198398709995672,0.35914241813123227,0.24555349557059153,655360000.0,327680000.0,163840000.0,122886794.0,112646799.0,46086800.0,0.1875,0.3438,0.2813,4.072432354002148
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.2500,0.5000,0.2500",0.2500,0.5000,0.2500,"0.1875,0.2813,0.2813",0.1875,0.2813,0.2813,100,10000,9332,0.9332,0.021179507896304132,0.35928321570158006,0.22769635096958704,655360000.0,327680000.0,163840000.0,122886794.0,92166797.0,46086800.0,0.1875,0.2813,0.2813,4.391813903656137
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.0000,0.0000,0.5000",0.0000,0.0000,0.5000,"0.1250,0.1563,0.3438",0.1250,0.1563,0.3438,100,10000,9332,0.9332,0.026409071222878992,0.36310577504336833,0.1651963588169643,655360000.0,327680000.0,163840000.0,81926800.0,51206800.0,56326800.0,0.125,0.1563,0.3438,6.053402188531218
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.0000,0.0000,0.7500",0.0000,0.0000,0.7500,"0.1250,0.1563,0.3692",0.1250,0.1563,0.3692,100,10000,9332,0.9332,0.026504978989250957,0.3627697950601578,0.1688308323451451,655360000.0,327680000.0,163840000.0,81926800.0,51206800.0,60495105.0,0.125,0.1563,0.3692,5.9230887279858635
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.2500,0.7500,0.5000",0.2500,0.7500,0.5000,"0.1875,0.3438,0.3438",0.1875,0.3438,0.3438,100,10000,9331,0.9331,0.02115343601675704,0.3571851576119661,0.2544820669991629,655360000.0,327680000.0,163840000.0,122886794.0,112646799.0,56326800.0,0.1875,0.3438,0.3438,3.9295499749429856
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.2500,0.2500,1.0000",0.2500,0.2500,1.0000,"0.1875,0.2188,0.2813",0.1875,0.2188,0.2813,100,10000,9331,0.9331,0.022132052569650115,0.3580856768041849,0.2098392098563058,655360000.0,327680000.0,163840000.0,122886794.0,71686799.0,46086800.0,0.1875,0.2188,0.2813,4.765553590698242
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.2500,1.0000,0.0000",0.2500,1.0000,0.0000,"0.1875,0.2813,0.2188",0.1875,0.2813,0.2188,100,10000,9331,0.9331,0.024587192030157894,0.36138982087373733,0.21876778215680803,655360000.0,327680000.0,163840000.0,122886794.0,92166800.0,35846800.0,0.1875,0.2813,0.2188,4.571056990847133
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.5000,0.2500,0.2500",0.5000,0.2500,0.2500,"0.2500,0.2188,0.2813",0.2500,0.2188,0.2813,100,10000,9330,0.933,0.021034346693195403,0.35895487658679487,0.2455534929547991,655360000.0,327680000.0,163840000.0,163846792.0,71686798.0,46086800.0,0.25,0.2188,0.2813,4.072432397384294
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.5000,0.0000,0.7500",0.5000,0.0000,0.7500,"0.2500,0.1563,0.3689",0.2500,0.1563,0.3689,100,10000,9330,0.933,0.02191342402715236,0.3602861661091447,0.24021177978515626,655360000.0,327680000.0,163840000.0,163846792.0,51206800.0,60440494.0,0.25,0.1563,0.3689,4.162993175831731
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.7500,0.0000,0.5000",0.7500,0.0000,0.5000,"0.3125,0.1563,0.3438",0.3125,0.1563,0.3438,100,10000,9330,0.933,0.02198255077470094,0.36230797953903676,0.2723392063685826,655360000.0,327680000.0,163840000.0,204806789.0,51206800.0,56326800.0,0.3125,0.1563,0.3438,3.671891437645613
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.2500,1.0000,0.2500",0.2500,1.0000,0.2500,"0.1875,0.2813,0.2813",0.1875,0.2813,0.2813,100,10000,9330,0.933,0.022669466543011368,0.35924573093652723,0.22769635358537946,655360000.0,327680000.0,163840000.0,122886794.0,92166800.0,46086800.0,0.1875,0.2813,0.2813,4.391813853202657
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.5000,0.2500,0.5000",0.5000,0.2500,0.5000,"0.2500,0.2188,0.3438",0.2500,0.2188,0.3438,100,10000,9329,0.9329,0.021092647446785122,0.35863631576299665,0.2544820652553013,655360000.0,327680000.0,163840000.0,163846792.0,71686799.0,56326800.0,0.25,0.2188,0.3438,3.9295500018705862
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.2500,0.0000,0.2500",0.2500,0.0000,0.2500,"0.1875,0.1563,0.2813",0.1875,0.1563,0.2813,100,10000,9329,0.9329,0.02197292005410418,0.36600670412182806,0.19198206787109376,655360000.0,327680000.0,163840000.0,122886794.0,51206800.0,46086800.0,0.1875,0.1563,0.2813,5.208819818898135
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.7500,0.2500,0.0000",0.7500,0.2500,0.0000,"0.3125,0.2188,0.2188",0.3125,0.2188,0.2188,100,10000,9328,0.9328,0.02170234185177833,0.3598691777139902,0.2723392054966518,655360000.0,327680000.0,163840000.0,204806789.0,71686799.0,35846800.0,0.3125,0.2188,0.2188,3.67189144940167
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.5000,1.0000,0.7500",0.5000,1.0000,0.7500,"0.2500,0.2813,0.3687",0.2500,0.2813,0.3687,100,10000,9328,0.9328,0.02267458299174905,0.35736527413129804,0.27589417027064733,655360000.0,327680000.0,163840000.0,163846792.0,92166800.0,60403914.0,0.25,0.2813,0.3687,3.6245782178688937
llmint8,llmint8_INT8INT4,INT8INT4,int8,int4,"0.2500,1.0000,1.0000",0.2500,1.0000,1.0000,"0.1875,0.2813,0.2813",0.1875,0.2813,0.2813,100,10000,9328,0.9328,0.02557035762351006,0.35941174142062665,0.22769635358537946,655360000.0,327680000.0,163840000.0,122886794.0,92166800.0,46086800.0,0.1875,0.2813,0.2813,4.391813853202657
