compressor,compressor_policy,llm_policy,outlier_precision,regular_precision,outlier_values,outlier0,outlier1,outlier2,quant_precision_values,quant0_precision,quant1_precision,quant2_precision,k_values,k0,k1,k2,num_batches,num_samples,correct_count,avg_accuracy,avg_latency,avg_ce_loss,avg_payload_ratio,tp0_original_bytes,tp1_original_bytes,tp2_original_bytes,tp0_compressed_bytes,tp1_compressed_bytes,tp2_compressed_bytes,tp0_payload_ratio,tp1_payload_ratio,tp2_payload_ratio,avg_compression_ratio
quantization,quantization,,,,,,,,"passthrough,fp16,passthrough",passthrough,fp16,passthrough,"1.0000,0.5000,1.0000",1.0000,0.5000,1.0000,100,10000,9329,0.9329,0.01140181306283921,0.357754315584898,0.8571484375,655360000.0,327680000.0,163840000.0,655360000.0,163846400.0,163840000.0,1.0,0.5,1.0,1.1666590712300051
quantization,quantization,,,,,,,,"passthrough,fp16,fp16",passthrough,fp16,fp16,"1.0000,0.5000,0.5000",1.0000,0.5000,0.5000,100,10000,9329,0.9329,0.011755373002961278,0.3577561277896166,0.7857254464285715,655360000.0,327680000.0,163840000.0,655360000.0,163846400.0,81926400.0,1.0,0.5,0.5,1.2727091944716695
quantization,quantization,,,,,,,,"fp16,fp16,fp16",fp16,fp16,fp16,"0.5000,0.5000,0.5000",0.5000,0.5000,0.5000,100,10000,9329,0.9329,0.011992340991273522,0.35775979436933997,0.5000167410714286,655360000.0,327680000.0,163840000.0,327686400.0,163846400.0,81926400.0,0.5,0.5,0.5,1.9999330379563185
quantization,quantization,,,,,,,,"fp16,passthrough,passthrough",fp16,passthrough,passthrough,"0.5000,1.0000,1.0000",0.5000,1.0000,1.0000,100,10000,9329,0.9329,0.012495429054833949,0.3577661508321762,0.7142912946428571,655360000.0,327680000.0,163840000.0,327686400.0,327680000.0,163840000.0,0.5,1.0,1.0,1.3999890625854485
quantization,quantization,,,,,,,,"fp16,int8,fp16",fp16,int8,fp16,"0.5000,0.2500,0.5000",0.5000,0.2500,0.5000,100,10000,9328,0.9328,0.011614093016833067,0.3579214206337929,0.4285885184151786,655360000.0,327680000.0,163840000.0,327686400.0,81926800.0,81926400.0,0.5,0.25,0.5,2.333240292338603
quantization,quantization,,,,,,,,"fp16,int8,passthrough",fp16,int8,passthrough,"0.5000,0.2500,1.0000",0.5000,0.2500,1.0000,100,10000,9328,0.9328,0.011748457052744925,0.3579211027920246,0.5000115094866071,655360000.0,327680000.0,163840000.0,327686400.0,81926800.0,163840000.0,0.5,0.25,1.0,1.9999539631132932
quantization,quantization,,,,,,,,"passthrough,passthrough,passthrough",passthrough,passthrough,passthrough,"1.0000,1.0000,1.0000",1.0000,1.0000,1.0000,100,10000,9328,0.9328,0.011769737992435693,0.3577557120472193,1.0,655360000.0,327680000.0,163840000.0,655360000.0,327680000.0,163840000.0,1.0,1.0,1.0,1.0
quantization,quantization,,,,,,,,"passthrough,int8,passthrough",passthrough,int8,passthrough,"1.0000,0.2500,1.0000",1.0000,0.2500,1.0000,100,10000,9328,0.9328,0.011816470040939749,0.35798558197915553,0.78572021484375,655360000.0,327680000.0,163840000.0,655360000.0,81926800.0,163840000.0,1.0,0.25,1.0,1.2727176685900363
quantization,quantization,,,,,,,,"fp16,fp16,passthrough",fp16,fp16,passthrough,"0.5000,0.5000,1.0000",0.5000,0.5000,1.0000,100,10000,9328,0.9328,0.011859222967177629,0.3577597726136446,0.5714397321428571,655360000.0,327680000.0,163840000.0,327686400.0,163846400.0,163840000.0,0.5,0.5,1.0,1.749965820980059
quantization,quantization,,,,,,,,"passthrough,passthrough,fp16",passthrough,passthrough,fp16,"1.0000,1.0000,0.5000",1.0000,1.0000,0.5000,100,10000,9328,0.9328,0.011906461995095015,0.357755493670702,0.9285770089285714,655360000.0,327680000.0,163840000.0,655360000.0,327680000.0,81926400.0,1.0,1.0,0.5,1.076916605068479
